id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2595,Skylit Midtown Castle Sanctuary,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,240,30,49,2022-06-21,0.27,3,365,0,
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,83,30,195,2024-10-05,1.04,1,185,4,
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,1,2022-06-05,0.03,2,83,0,
6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,71,30,250,2024-10-31,1.37,1,284,4,
7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,,30,13,2022-09-12,0.08,2,0,0,
7097,"Perfect for Your Parents, With Garden & Patio",17571,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,205,2,390,2024-10-27,2.16,2,215,38,OSE-STRREG-0000008
7801,Sunny Williamsburg Loft with Sauna,21207,Chaya,Brooklyn,Williamsburg,40.718807220458984,-73.9561767578125,Entire home/apt,290,30,13,2024-07-31,0.07,1,259,1,
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,170,30,190,2023-10-16,1.03,2,219,0,
9357,Midtown Pied-a-terre,30193,Tommi Laurelle,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,2017-08-13,0.32,1,65,0,
10452,Radiant Oasis  B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90,30,81,2024-08-19,0.46,6,261,2,
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,,30,0,,,1,0,0,
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,75,30,316,2024-01-08,1.73,2,123,2,
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,123,30,78,2024-10-08,0.43,1,319,3,
13808,Writer’s Room for 2 in Brownstone- $1860 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,136,30,204,2024-03-31,1.16,4,275,3,
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115,30,179,2024-09-30,0.99,1,276,2,
15341,*Nice Nolita 1Bdrm with Elevator and 24h-Doorman*,60049,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,191,30,39,2024-10-05,0.29,1,61,2,
15385,"Very, very cozy place",60252,Maria C,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,96,30,59,2024-08-31,0.33,1,284,3,
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,,180,5,2018-11-03,0.05,1,129,0,
16580,"Sunny, Modern room in East Village w City Views",64442,Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,170,1,600,2024-10-18,4.40,2,139,73,OSE-STRREG-0000108
16821,Charming Room in Amazing East Village Apt. (B),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,152,1,229,2024-10-24,1.54,2,46,41,OSE-STRREG-0001710
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300,30,291,2023-09-05,1.61,1,266,0,
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,230,30,54,2024-06-06,0.30,1,126,1,
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,500,30,147,2019-09-01,0.92,1,365,0,
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,150,30,249,2024-10-05,1.50,1,288,3,
18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,,30,1,2016-03-22,0.01,1,0,0,
19174,DUPLEX TERRACE in CHELSEA,73164,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,200,90,67,2016-08-26,0.38,1,312,0,
19282,"Sunny, Spacious Top Floor Haven",73469,Djassi,Brooklyn,Flatbush,40.65437,-73.96278,Private room,,30,16,2019-07-20,0.09,1,16,0,
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,59,2018-07-29,0.33,1,326,0,
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,,30,165,2018-07-22,0.96,1,0,0,
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,,30,3,2019-10-21,0.04,1,0,0,
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85,30,36,2020-01-19,0.20,2,364,0,
23135,@HouseOnHenrySt Private 1 bedroom with shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,200,30,318,2024-07-25,1.81,4,365,1,
23545,Upper Upper West Side Garden Apartment Townhouse,92411,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,200,30,215,2019-06-17,1.21,1,358,0,
24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,220,30,93,2024-10-29,0.53,1,170,3,
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,,30,29,2018-05-26,0.21,1,0,0,
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90,30,479,2022-05-31,2.73,3,126,0,
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,2011-12-10,0.15,1,0,0,
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,19,2017-05-31,0.11,1,276,0,
29013,Cozy Gorgeous Room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90,30,74,2024-08-03,0.43,6,199,1,
29628,"Comfortable, Sunny Room",127608,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,152,3,444,2024-10-26,2.53,1,128,61,OSE-STRREG-0000041
31130,Entire apartment _Most central location!,117287,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,200,30,75,2024-01-07,0.43,3,321,2,
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,,30,30,2021-03-27,0.18,1,0,0,
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,,30,4,2019-10-14,0.02,1,0,0,
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,127,2,595,2024-10-23,3.41,2,306,37,OSE-STRREG-0000832
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,,30,92,2022-11-02,0.53,3,364,0,
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195,30,297,2024-07-23,1.70,1,236,2,
34760,"Sunny Room, Historical Brooklyn Brownstone 30-days",149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,,30,36,2024-09-01,0.40,3,41,4,
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67376,-73.96611,Private room,200,90,9,2013-05-10,0.05,1,362,0,
36647,"1 Bedroom & your own Bathroom, Elevator Apartment",157798,Irene,Manhattan,East Harlem,40.79245376586914,-73.94074249267578,Private room,85,30,102,2023-12-09,0.59,1,85,2,
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,900,3,43,2023-08-30,0.29,1,354,0,OSE-STRREG-0001784
38833,Spectacular West Harlem Garden Apt,166532,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,Entire home/apt,215,3,229,2024-10-31,1.33,1,125,45,OSE-STRREG-0000476
